epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,7244.55,0.75536,0.54094,1.35023,0.81602,0.85594,0.88228,0.546,1.33779,0.79516,1.62033,0.0010364,0.0010364,0.0010364
75,7336.54,0.75716,0.53332,1.33763,0.93347,0.84649,0.91624,0.57286,1.32826,0.72142,1.56176,0.0010232,0.0010232,0.0010232
76,7435.49,0.73033,0.52237,1.31503,0.91438,0.80263,0.89071,0.56665,1.34221,0.75447,1.56662,0.00101,0.00101,0.00101
77,7533.75,0.75275,0.52674,1.32375,0.86175,0.84749,0.88751,0.52719,1.43468,0.80736,1.68691,0.0009968,0.0009968,0.0009968
78,7634.31,0.7353,0.52668,1.32469,0.78966,0.83977,0.84784,0.53517,1.32322,0.7551,1.54681,0.0009836,0.0009836,0.0009836
79,7726.13,0.75121,0.52452,1.32718,0.88803,0.85526,0.88517,0.55688,1.3822,0.73138,1.62391,0.0009704,0.0009704,0.0009704
80,7827.78,0.72753,0.53118,1.31376,0.85994,0.83333,0.87875,0.56035,1.31286,0.76035,1.51317,0.0009572,0.0009572,0.0009572
81,7928.27,0.72359,0.50879,1.31128,0.84786,0.83108,0.88302,0.55146,1.36373,0.77295,1.61992,0.000944,0.000944,0.000944
82,8021.48,0.72095,0.50529,1.31182,0.81661,0.82895,0.87394,0.54801,1.32362,0.77403,1.55071,0.0009308,0.0009308,0.0009308
83,8119.86,0.73007,0.51644,1.31523,0.83532,0.82456,0.87863,0.54805,1.37911,0.74809,1.57083,0.0009176,0.0009176,0.0009176
84,8220.71,0.71992,0.50815,1.29798,0.7877,0.81367,0.85438,0.55156,1.29173,0.77109,1.47549,0.0009044,0.0009044,0.0009044
85,8320.16,0.71069,0.48819,1.30971,0.85698,0.84211,0.89155,0.56502,1.32108,0.74933,1.50981,0.0008912,0.0008912,0.0008912
86,8411.94,0.71787,0.49375,1.29573,0.87561,0.80275,0.87129,0.53644,1.38527,0.73645,1.60265,0.000878,0.000878,0.000878
87,8513.33,0.70613,0.48529,1.28376,0.79963,0.82268,0.85573,0.53703,1.33508,0.77646,1.55579,0.0008648,0.0008648,0.0008648
88,8619.04,0.71282,0.49188,1.28168,0.85779,0.84211,0.88204,0.55582,1.33008,0.69983,1.55599,0.0008516,0.0008516,0.0008516
89,8725.4,0.70254,0.48003,1.28618,0.85192,0.86404,0.89708,0.57456,1.33263,0.70792,1.51616,0.0008384,0.0008384,0.0008384
